Initial,Faculty,Department
BB,文学部,文明学科
BR,文学部,歴史学科 日本史専攻
BF,文学部,歴史学科 西洋史専攻
BK,文学部,歴史学科 考古学専攻
BL,文学部,日本文学科
BC,文学部,英語文化コミュニケーション学科
PD,文化社会学部,アジア学科
PY,文化社会学部,ヨーロッパ・アメリカ学科
PX,文化社会学部,北欧学科
PG,文化社会学部,文芸創作学科
PK,文化社会学部,広報メディア学科
PH,文化社会学部,心理・社会学科
PP,政治経済学部,政治学科
PE,政治経済学部,経済学科
PB,政治経済学部,経営学科
JJ,法学部,法律学科
HN,教養学部,人間環境学科 自然環境課程
HK,教養学部,人間環境学科 社会環境課程
HM,教養学部,芸術学科 音楽学課程
HA,教養学部,芸術学科 美術学課程
HD,教養学部,芸術学科 デザイン学課程
HW,教養学部,国際学科
GP,体育学部,体育学科
GC,体育学部,競技スポーツ学科
GS,体育学部,武道学科
GR,体育学部,生涯スポーツ学科
GM,体育学部,スポーツ・レジャーマネジメント学科
GK,健康学部,健康マネジメント学科
SM,理学部,数学科
SS,理学部,情報数理学科
SP,理学部,物理学科
SC,理学部,化学科
DI,情報理工学部,情報科学科
DA,情報理工学部,コンピュータ応用工学科
EL,工学部,生命化学科
EK,工学部,応用化学科
EF,工学部,光・画像工学科
EX,工学部,原子力工学科
EI,工学部,電気電子工学科
ER,工学部,材料科学科
EB,工学部,建築学科
EV,工学部,土木工学科
ES,工学部,精密工学科
EM,工学部,機械工学科
ED,工学部,動力機械工学科
EU,工学部,航空宇宙学科 航空宇宙学専攻
EO,工学部,航空宇宙学科 航空操縦学専攻
EY,工学部,医用生体工学科
PS,観光学部,観光学科
JI,情報通信学部,情報メディア学科
JK,情報通信学部,組込みソフトウェア工学科
JM,情報通信学部,経営システム工学科
JT,情報通信学部,通信ネットワーク工学科
OH,海洋学部,海洋文明学科
KE,海洋学部,環境社会学科
KJ,海洋学部,海洋地球科学科
KD,海洋学部,水産学科 生物生産学専攻
KZ,海洋学部,水産学科 食品科学専攻
KB,海洋学部,海洋生物学科
KR,海洋学部,航海工学科 航海学専攻
KW,海洋学部,航海工学科 海洋機械工学専攻
MM,医学部,医学科
MT,医学部,看護学科
FR,経営学部,経営学科
FT,経営学部,観光ビジネス学科
IG,基盤工学部,電気電子情報工学科
IW,基盤工学部,医療福祉工学科
NV,農学部,応用植物科学科
NZ,農学部,応用動物科学科
NB,農学部,バイオサイエンス学科
WA,国際文化学部,地域創造学科
WK,国際文化学部,国際コミュニケーション学科
WD,国際文化学部,デザイン文化学科
CH,生物学部,生物学科
CU,生物学部,海洋生物科学科
